timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1583589925931,14,Home Page,200,OK,Scenario 1 1-6,text,true,,2698,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589925936,11,Home Page,200,OK,Scenario 1 1-37,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589925961,11,Home Page,200,OK,Scenario 1 1-31,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589925976,13,Home Page,200,OK,Scenario 1 1-130,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589925978,13,Home Page,200,OK,Scenario 1 1-106,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589925979,15,Home Page,200,OK,Scenario 1 1-63,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589925985,17,Home Page,200,OK,Scenario 1 1-119,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,17,0,0
1583589925985,18,Home Page,200,OK,Scenario 1 1-4,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,18,0,0
1583589925986,18,Home Page,200,OK,Scenario 1 1-71,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,18,0,0
1583589925993,16,Home Page,200,OK,Scenario 1 1-39,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,16,0,0
1583589925993,16,Home Page,200,OK,Scenario 1 1-131,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,16,0,1
1583589925998,14,Home Page,200,OK,Scenario 1 1-132,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926015,12,Home Page,200,OK,Scenario 1 1-117,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926036,11,Home Page,200,OK,Scenario 1 1-139,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926052,13,Home Page,200,OK,Scenario 1 1-124,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926056,14,Home Page,200,OK,Scenario 1 1-83,text,true,,2705,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926059,13,Home Page,200,OK,Scenario 1 1-96,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926062,13,Home Page,200,OK,Scenario 1 1-148,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926066,14,Home Page,200,OK,Scenario 1 1-125,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926072,13,Home Page,200,OK,Scenario 1 1-114,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926074,13,Home Page,200,OK,Scenario 1 1-40,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926079,13,Home Page,200,OK,Scenario 1 1-138,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926082,12,Home Page,200,OK,Scenario 1 1-134,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,1
1583589926097,13,Home Page,200,OK,Scenario 1 1-108,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926097,13,Home Page,200,OK,Scenario 1 1-74,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926103,13,Home Page,200,OK,Scenario 1 1-79,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926105,13,Home Page,200,OK,Scenario 1 1-105,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926107,13,Home Page,200,OK,Scenario 1 1-140,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926118,12,Home Page,200,OK,Scenario 1 1-72,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926123,12,Home Page,200,OK,Scenario 1 1-128,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926124,12,Home Page,200,OK,Scenario 1 1-34,text,true,,2705,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926141,12,Home Page,200,OK,Scenario 1 1-59,text,true,,2705,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926144,12,Home Page,200,OK,Scenario 1 1-2,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926147,11,Home Page,200,OK,Scenario 1 1-38,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926165,12,Home Page,200,OK,Scenario 1 1-60,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926167,12,Home Page,200,OK,Scenario 1 1-22,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926172,12,Home Page,200,OK,Scenario 1 1-101,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926176,11,Home Page,200,OK,Scenario 1 1-43,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926182,11,Home Page,200,OK,Scenario 1 1-113,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926189,12,Home Page,200,OK,Scenario 1 1-42,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926192,13,Home Page,200,OK,Scenario 1 1-76,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926192,14,Home Page,200,OK,Scenario 1 1-126,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926200,12,Home Page,200,OK,Scenario 1 1-110,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
1583589926205,14,Home Page,200,OK,Scenario 1 1-1,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,1
1583589926207,14,Home Page,200,OK,Scenario 1 1-67,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926211,13,Home Page,200,OK,Scenario 1 1-32,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926197,33,Home Page,200,OK,Scenario 1 1-99,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,33,0,0
1583589926217,13,Home Page,200,OK,Scenario 1 1-8,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,13,0,1
1583589926216,22,Home Page,200,OK,Scenario 1 1-44,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,22,0,0
1583589926239,11,Home Page,200,OK,Scenario 1 1-141,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926243,11,Home Page,200,OK,Scenario 1 1-9,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926253,11,Home Page,200,OK,Scenario 1 1-137,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926262,11,Home Page,200,OK,Scenario 1 1-95,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926262,11,Home Page,200,OK,Scenario 1 1-120,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926273,10,Home Page,200,OK,Scenario 1 1-144,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,10,0,0
1583589926285,10,Home Page,200,OK,Scenario 1 1-45,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,10,0,0
1583589926296,11,Home Page,200,OK,Scenario 1 1-80,text,true,,2700,373,150,150,http://localhost/cookieweb/default.asp,11,0,0
1583589926310,13,Home Page,200,OK,Scenario 1 1-81,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926313,13,Home Page,200,OK,Scenario 1 1-111,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926313,14,Home Page,200,OK,Scenario 1 1-7,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926317,13,Home Page,200,OK,Scenario 1 1-14,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926326,13,Home Page,200,OK,Scenario 1 1-94,text,true,,2701,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926328,14,Home Page,200,OK,Scenario 1 1-17,text,true,,2702,373,150,150,http://localhost/cookieweb/default.asp,14,0,0
1583589926331,13,Home Page,200,OK,Scenario 1 1-53,text,true,,2704,373,150,150,http://localhost/cookieweb/default.asp,13,0,0
1583589926335,13,Home Page,200,OK,Scenario 1 1-78,text,true,,2703,373,150,150,http://localhost/cookieweb/default.asp,12,0,0
